id,colaborador_id,usuario_id,tipocolaborador_id
UC0000231,CL0000231,US0000231,TP00002
UC0000232,CL0000232,US0000232,TP00001
UC0000233,CL0000233,US0000233,TP00002
UC0000234,CL0000234,US0000234,TP00003
UC0000235,CL0000235,US0000235,TP00003
UC0000236,CL0000236,US0000236,TP00001
UC0000237,CL0000237,US0000237,TP00002
UC0000238,CL0000238,US0000238,TP00001
UC0000239,CL0000239,US0000239,TP00001
UC0000240,CL0000240,US0000240,TP00002
UC0000241,CL0000241,US0000241,TP00002
UC0000242,CL0000242,US0000242,TP00001
UC0000243,CL0000243,US0000243,TP00001
UC0000244,CL0000244,US0000244,TP00003
UC0000245,CL0000245,US0000245,TP00003
UC0000246,CL0000246,US0000246,TP00001
UC0000247,CL0000247,US0000247,TP00003
UC0000248,CL0000248,US0000248,TP00002
UC0000249,CL0000249,US0000249,TP00001
UC0000250,CL0000250,US0000250,TP00002
UC0000251,CL0000251,US0000251,TP00001
UC0000252,CL0000252,US0000252,TP00002
UC0000253,CL0000253,US0000253,TP00002
UC0000254,CL0000254,US0000254,TP00003
UC0000255,CL0000255,US0000255,TP00002
UC0000256,CL0000256,US0000256,TP00003
UC0000257,CL0000257,US0000257,TP00002
UC0000258,CL0000258,US0000258,TP00001
UC0000259,CL0000259,US0000259,TP00003
UC0000260,CL0000260,US0000260,TP00003
UC0000261,CL0000261,US0000261,TP00002
UC0000262,CL0000262,US0000262,TP00001
UC0000263,CL0000263,US0000263,TP00002
UC0000264,CL0000264,US0000264,TP00002
UC0000265,CL0000265,US0000265,TP00003
UC0000266,CL0000266,US0000266,TP00001
UC0000267,CL0000267,US0000267,TP00001
UC0000268,CL0000268,US0000268,TP00003
UC0000269,CL0000269,US0000269,TP00001
UC0000270,CL0000270,US0000270,TP00002
UC0000271,CL0000271,US0000271,TP00001
UC0000272,CL0000272,US0000272,TP00001
UC0000273,CL0000273,US0000273,TP00001
UC0000274,CL0000274,US0000274,TP00001
UC0000275,CL0000275,US0000275,TP00001
UC0000276,CL0000276,US0000276,TP00003
UC0000277,CL0000277,US0000277,TP00002
UC0000278,CL0000278,US0000278,TP00001
UC0000279,CL0000279,US0000279,TP00001
UC0000280,CL0000280,US0000280,TP00001
UC0000281,CL0000281,US0000281,TP00001
UC0000282,CL0000282,US0000282,TP00002
UC0000283,CL0000283,US0000283,TP00002
UC0000284,CL0000284,US0000284,TP00002
UC0000285,CL0000285,US0000285,TP00001
UC0000286,CL0000286,US0000286,TP00003
UC0000287,CL0000287,US0000287,TP00003
UC0000288,CL0000288,US0000288,TP00002
UC0000289,CL0000289,US0000289,TP00003
UC0000290,CL0000290,US0000290,TP00002
UC0000291,CL0000291,US0000291,TP00002
UC0000292,CL0000292,US0000292,TP00001
UC0000293,CL0000293,US0000293,TP00002
UC0000294,CL0000294,US0000294,TP00001
UC0000295,CL0000295,US0000295,TP00002
UC0000296,CL0000296,US0000296,TP00003
UC0000297,CL0000297,US0000297,TP00001
UC0000298,CL0000298,US0000298,TP00002
UC0000299,CL0000299,US0000299,TP00003
UC0000300,CL0000300,US0000300,TP00001
UC0000301,CL0000301,US0000301,TP00003
UC0000302,CL0000302,US0000302,TP00002
UC0000303,CL0000303,US0000303,TP00003
UC0000304,CL0000304,US0000304,TP00002
UC0000305,CL0000305,US0000305,TP00003
UC0000306,CL0000306,US0000306,TP00003
UC0000307,CL0000307,US0000307,TP00002
UC0000308,CL0000308,US0000308,TP00003
UC0000309,CL0000309,US0000309,TP00002
UC0000310,CL0000310,US0000310,TP00002
UC0000311,CL0000311,US0000311,TP00001
UC0000312,CL0000312,US0000312,TP00003
UC0000313,CL0000313,US0000313,TP00002
UC0000314,CL0000314,US0000314,TP00003
UC0000315,CL0000315,US0000315,TP00001
UC0000316,CL0000316,US0000316,TP00001
UC0000317,CL0000317,US0000317,TP00003
UC0000318,CL0000318,US0000318,TP00003
UC0000319,CL0000319,US0000319,TP00001
UC0000320,CL0000320,US0000320,TP00001
UC0000321,CL0000321,US0000321,TP00002
UC0000322,CL0000322,US0000322,TP00002
UC0000323,CL0000323,US0000323,TP00003
UC0000324,CL0000324,US0000324,TP00001
UC0000325,CL0000325,US0000325,TP00003
UC0000326,CL0000326,US0000326,TP00003
UC0000327,CL0000327,US0000327,TP00001
UC0000328,CL0000328,US0000328,TP00002
UC0000329,CL0000329,US0000329,TP00002
UC0000330,CL0000330,US0000330,TP00002
UC0000331,CL0000331,US0000331,TP00002
UC0000332,CL0000332,US0000332,TP00003
UC0000333,CL0000333,US0000333,TP00001
UC0000334,CL0000334,US0000334,TP00002
UC0000335,CL0000335,US0000335,TP00003
UC0000336,CL0000336,US0000336,TP00003
UC0000337,CL0000337,US0000337,TP00001
UC0000338,CL0000338,US0000338,TP00003
UC0000339,CL0000339,US0000339,TP00003
UC0000340,CL0000340,US0000340,TP00003
UC0000341,CL0000341,US0000341,TP00003
UC0000342,CL0000342,US0000342,TP00002
UC0000343,CL0000343,US0000343,TP00003
UC0000344,CL0000344,US0000344,TP00001
UC0000345,CL0000345,US0000345,TP00003
UC0000346,CL0000346,US0000346,TP00003
UC0000347,CL0000347,US0000347,TP00002
UC0000348,CL0000348,US0000348,TP00003
UC0000349,CL0000349,US0000349,TP00002
UC0000350,CL0000350,US0000350,TP00003
UC0000351,CL0000351,US0000351,TP00001
UC0000352,CL0000352,US0000352,TP00003
UC0000353,CL0000353,US0000353,TP00002
UC0000354,CL0000354,US0000354,TP00002
UC0000355,CL0000355,US0000355,TP00001
UC0000356,CL0000356,US0000356,TP00002
UC0000357,CL0000357,US0000357,TP00003
UC0000358,CL0000358,US0000358,TP00002
UC0000359,CL0000359,US0000359,TP00003
UC0000360,CL0000360,US0000360,TP00002
UC0000361,CL0000361,US0000361,TP00001
UC0000362,CL0000362,US0000362,TP00003
UC0000363,CL0000363,US0000363,TP00001
UC0000364,CL0000364,US0000364,TP00002
UC0000365,CL0000365,US0000365,TP00003
UC0000366,CL0000366,US0000366,TP00003
UC0000367,CL0000367,US0000367,TP00002
UC0000368,CL0000368,US0000368,TP00003
UC0000369,CL0000369,US0000369,TP00003
UC0000370,CL0000370,US0000370,TP00003
UC0000371,CL0000371,US0000371,TP00003
UC0000372,CL0000372,US0000372,TP00001
UC0000373,CL0000373,US0000373,TP00001
UC0000374,CL0000374,US0000374,TP00003
UC0000375,CL0000375,US0000375,TP00001
UC0000376,CL0000376,US0000376,TP00002
UC0000377,CL0000377,US0000377,TP00003
UC0000378,CL0000378,US0000378,TP00002
UC0000379,CL0000379,US0000379,TP00002
UC0000380,CL0000380,US0000380,TP00002
UC0000381,CL0000381,US0000381,TP00003
UC0000382,CL0000382,US0000382,TP00001
UC0000383,CL0000383,US0000383,TP00001
UC0000384,CL0000384,US0000384,TP00002
UC0000385,CL0000385,US0000385,TP00001
UC0000386,CL0000386,US0000386,TP00003
UC0000387,CL0000387,US0000387,TP00001
UC0000388,CL0000388,US0000388,TP00001
UC0000389,CL0000389,US0000389,TP00002
UC0000390,CL0000390,US0000390,TP00002
UC0000391,CL0000391,US0000391,TP00001
UC0000392,CL0000392,US0000392,TP00002
UC0000393,CL0000393,US0000393,TP00002
UC0000394,CL0000394,US0000394,TP00002
UC0000395,CL0000395,US0000395,TP00001
UC0000396,CL0000396,US0000396,TP00003
UC0000397,CL0000397,US0000397,TP00001
UC0000398,CL0000398,US0000398,TP00003
UC0000399,CL0000399,US0000399,TP00002
UC0000400,CL0000400,US0000400,TP00001
UC0000401,CL0000401,US0000401,TP00002
UC0000402,CL0000402,US0000402,TP00003
UC0000403,CL0000403,US0000403,TP00003
UC0000404,CL0000404,US0000404,TP00002
UC0000405,CL0000405,US0000405,TP00002
UC0000406,CL0000406,US0000406,TP00001
UC0000407,CL0000407,US0000407,TP00003
UC0000408,CL0000408,US0000408,TP00002
UC0000409,CL0000409,US0000409,TP00002
UC0000410,CL0000410,US0000410,TP00001
UC0000411,CL0000411,US0000411,TP00002
UC0000412,CL0000412,US0000412,TP00003
UC0000413,CL0000413,US0000413,TP00001
UC0000414,CL0000414,US0000414,TP00002
UC0000415,CL0000415,US0000415,TP00003
UC0000416,CL0000416,US0000416,TP00003
UC0000417,CL0000417,US0000417,TP00003
UC0000418,CL0000418,US0000418,TP00002
UC0000419,CL0000419,US0000419,TP00001
UC0000420,CL0000420,US0000420,TP00001
UC0000421,CL0000421,US0000421,TP00002
UC0000422,CL0000422,US0000422,TP00001
UC0000423,CL0000423,US0000423,TP00003
UC0000424,CL0000424,US0000424,TP00002
UC0000425,CL0000425,US0000425,TP00003
UC0000426,CL0000426,US0000426,TP00003
UC0000427,CL0000427,US0000427,TP00001
UC0000428,CL0000428,US0000428,TP00003
UC0000429,CL0000429,US0000429,TP00003
UC0000430,CL0000430,US0000430,TP00002
UC0000431,CL0000431,US0000431,TP00001
UC0000432,CL0000432,US0000432,TP00002
UC0000433,CL0000433,US0000433,TP00003
UC0000434,CL0000434,US0000434,TP00002
UC0000435,CL0000435,US0000435,TP00001
UC0000436,CL0000436,US0000436,TP00002
UC0000437,CL0000437,US0000437,TP00002
UC0000438,CL0000438,US0000438,TP00003
UC0000439,CL0000439,US0000439,TP00003
UC0000440,CL0000440,US0000440,TP00003
UC0000441,CL0000441,US0000441,TP00001
UC0000442,CL0000442,US0000442,TP00003
UC0000443,CL0000443,US0000443,TP00001
UC0000444,CL0000444,US0000444,TP00002
UC0000445,CL0000445,US0000445,TP00002
UC0000446,CL0000446,US0000446,TP00002
UC0000447,CL0000447,US0000447,TP00001
UC0000448,CL0000448,US0000448,TP00001
UC0000449,CL0000449,US0000449,TP00003
UC0000450,CL0000450,US0000450,TP00003
UC0000451,CL0000451,US0000451,TP00001
UC0000452,CL0000452,US0000452,TP00001
UC0000453,CL0000453,US0000453,TP00003
UC0000454,CL0000454,US0000454,TP00001
UC0000455,CL0000455,US0000455,TP00003
UC0000456,CL0000456,US0000456,TP00002
UC0000457,CL0000457,US0000457,TP00001
UC0000458,CL0000458,US0000458,TP00002
UC0000459,CL0000459,US0000459,TP00001
UC0000460,CL0000460,US0000460,TP00002
UC0000461,CL0000461,US0000461,TP00001
UC0000462,CL0000462,US0000462,TP00002
UC0000463,CL0000463,US0000463,TP00002
UC0000464,CL0000464,US0000464,TP00001
UC0000465,CL0000465,US0000465,TP00001
UC0000466,CL0000466,US0000466,TP00002
UC0000467,CL0000467,US0000467,TP00002
UC0000468,CL0000468,US0000468,TP00001
UC0000469,CL0000469,US0000469,TP00003
UC0000470,CL0000470,US0000470,TP00001
UC0000471,CL0000471,US0000471,TP00001
UC0000472,CL0000472,US0000472,TP00002
UC0000473,CL0000473,US0000473,TP00001
UC0000474,CL0000474,US0000474,TP00001
UC0000475,CL0000475,US0000475,TP00002
UC0000476,CL0000476,US0000476,TP00003
UC0000477,CL0000477,US0000477,TP00001
UC0000478,CL0000478,US0000478,TP00002
UC0000479,CL0000479,US0000479,TP00001
UC0000480,CL0000480,US0000480,TP00002
UC0000481,CL0000481,US0000481,TP00003
UC0000482,CL0000482,US0000482,TP00003
UC0000483,CL0000483,US0000483,TP00003
UC0000484,CL0000484,US0000484,TP00002
UC0000485,CL0000485,US0000485,TP00001
UC0000486,CL0000486,US0000486,TP00002
UC0000487,CL0000487,US0000487,TP00001
UC0000488,CL0000488,US0000488,TP00003
UC0000489,CL0000489,US0000489,TP00003
UC0000490,CL0000490,US0000490,TP00002
UC0000491,CL0000491,US0000491,TP00001
UC0000492,CL0000492,US0000492,TP00003
UC0000493,CL0000493,US0000493,TP00001
UC0000494,CL0000494,US0000494,TP00001
UC0000495,CL0000495,US0000495,TP00003
UC0000496,CL0000496,US0000496,TP00003
UC0000497,CL0000497,US0000497,TP00002
UC0000498,CL0000498,US0000498,TP00001
UC0000499,CL0000499,US0000499,TP00003
UC0000500,CL0000500,US0000500,TP00001
UC0000501,CL0000501,US0000501,TP00001
UC0000502,CL0000502,US0000502,TP00001
UC0000503,CL0000503,US0000503,TP00001
UC0000504,CL0000504,US0000504,TP00002
UC0000505,CL0000505,US0000505,TP00002
UC0000506,CL0000506,US0000506,TP00001
UC0000507,CL0000507,US0000507,TP00002
UC0000508,CL0000508,US0000508,TP00002
UC0000509,CL0000509,US0000509,TP00001
UC0000510,CL0000510,US0000510,TP00002
UC0000511,CL0000511,US0000511,TP00002
UC0000512,CL0000512,US0000512,TP00002
UC0000513,CL0000513,US0000513,TP00002
UC0000514,CL0000514,US0000514,TP00003
UC0000515,CL0000515,US0000515,TP00003
UC0000516,CL0000516,US0000516,TP00001
UC0000517,CL0000517,US0000517,TP00001
UC0000518,CL0000518,US0000518,TP00003
UC0000519,CL0000519,US0000519,TP00001
UC0000520,CL0000520,US0000520,TP00001
UC0000521,CL0000521,US0000521,TP00001
UC0000522,CL0000522,US0000522,TP00001
UC0000523,CL0000523,US0000523,TP00002
UC0000524,CL0000524,US0000524,TP00003
UC0000525,CL0000525,US0000525,TP00002
UC0000526,CL0000526,US0000526,TP00003
UC0000527,CL0000527,US0000527,TP00001
UC0000528,CL0000528,US0000528,TP00001
UC0000529,CL0000529,US0000529,TP00003
UC0000530,CL0000530,US0000530,TP00002
UC0000531,CL0000531,US0000531,TP00001
UC0000532,CL0000532,US0000532,TP00002
UC0000533,CL0000533,US0000533,TP00001
UC0000534,CL0000534,US0000534,TP00002
UC0000535,CL0000535,US0000535,TP00002
UC0000536,CL0000536,US0000536,TP00002
UC0000537,CL0000537,US0000537,TP00003
UC0000538,CL0000538,US0000538,TP00003
UC0000539,CL0000539,US0000539,TP00001
UC0000540,CL0000540,US0000540,TP00002
UC0000541,CL0000541,US0000541,TP00001
UC0000542,CL0000542,US0000542,TP00001
UC0000543,CL0000543,US0000543,TP00002
UC0000544,CL0000544,US0000544,TP00002
UC0000545,CL0000545,US0000545,TP00002
UC0000546,CL0000546,US0000546,TP00002
UC0000547,CL0000547,US0000547,TP00003
UC0000548,CL0000548,US0000548,TP00002
UC0000549,CL0000549,US0000549,TP00003
UC0000550,CL0000550,US0000550,TP00001
UC0000551,CL0000551,US0000551,TP00002
UC0000552,CL0000552,US0000552,TP00001
UC0000553,CL0000553,US0000553,TP00002
UC0000554,CL0000554,US0000554,TP00003
UC0000555,CL0000555,US0000555,TP00003
UC0000556,CL0000556,US0000556,TP00001
UC0000557,CL0000557,US0000557,TP00001
UC0000558,CL0000558,US0000558,TP00002
UC0000559,CL0000559,US0000559,TP00002
UC0000560,CL0000560,US0000560,TP00003
UC0000561,CL0000561,US0000561,TP00003
UC0000562,CL0000562,US0000562,TP00001
UC0000563,CL0000563,US0000563,TP00001
UC0000564,CL0000564,US0000564,TP00002
UC0000565,CL0000565,US0000565,TP00002
UC0000566,CL0000566,US0000566,TP00002
UC0000567,CL0000567,US0000567,TP00001
UC0000568,CL0000568,US0000568,TP00003
UC0000569,CL0000569,US0000569,TP00001
UC0000570,CL0000570,US0000570,TP00001
UC0000571,CL0000571,US0000571,TP00002
UC0000572,CL0000572,US0000572,TP00003
UC0000573,CL0000573,US0000573,TP00003
UC0000574,CL0000574,US0000574,TP00003
UC0000575,CL0000575,US0000575,TP00001
UC0000576,CL0000576,US0000576,TP00001
UC0000577,CL0000577,US0000577,TP00003
UC0000578,CL0000578,US0000578,TP00003
UC0000579,CL0000579,US0000579,TP00003
UC0000580,CL0000580,US0000580,TP00001
UC0000581,CL0000581,US0000581,TP00001
UC0000582,CL0000582,US0000582,TP00002
UC0000583,CL0000583,US0000583,TP00002
UC0000584,CL0000584,US0000584,TP00001
UC0000585,CL0000585,US0000585,TP00001
UC0000586,CL0000586,US0000586,TP00003
UC0000587,CL0000587,US0000587,TP00002
UC0000588,CL0000588,US0000588,TP00003
UC0000589,CL0000589,US0000589,TP00001
UC0000590,CL0000590,US0000590,TP00002
UC0000591,CL0000591,US0000591,TP00001
UC0000592,CL0000592,US0000592,TP00003
UC0000593,CL0000593,US0000593,TP00001
UC0000594,CL0000594,US0000594,TP00001
UC0000595,CL0000595,US0000595,TP00003
UC0000596,CL0000596,US0000596,TP00001
UC0000597,CL0000597,US0000597,TP00001
UC0000598,CL0000598,US0000598,TP00003
UC0000599,CL0000599,US0000599,TP00001
UC0000600,CL0000600,US0000600,TP00003
UC0000601,CL0000601,US0000601,TP00003
UC0000602,CL0000602,US0000602,TP00002
UC0000603,CL0000603,US0000603,TP00003
UC0000604,CL0000604,US0000604,TP00003
UC0000605,CL0000605,US0000605,TP00002
UC0000606,CL0000606,US0000606,TP00001
UC0000607,CL0000607,US0000607,TP00003
UC0000608,CL0000608,US0000608,TP00001
UC0000609,CL0000609,US0000609,TP00001
UC0000610,CL0000610,US0000610,TP00002
UC0000611,CL0000611,US0000611,TP00001
UC0000612,CL0000612,US0000612,TP00001
UC0000613,CL0000613,US0000613,TP00001
UC0000614,CL0000614,US0000614,TP00002
UC0000615,CL0000615,US0000615,TP00001
UC0000616,CL0000616,US0000616,TP00002
UC0000617,CL0000617,US0000617,TP00003
UC0000618,CL0000618,US0000618,TP00003
UC0000619,CL0000619,US0000619,TP00003
UC0000620,CL0000620,US0000620,TP00003
UC0000621,CL0000621,US0000621,TP00001
UC0000622,CL0000622,US0000622,TP00003
UC0000623,CL0000623,US0000623,TP00001
UC0000624,CL0000624,US0000624,TP00002
UC0000625,CL0000625,US0000625,TP00003
UC0000626,CL0000626,US0000626,TP00003
UC0000627,CL0000627,US0000627,TP00002
UC0000628,CL0000628,US0000628,TP00003
UC0000629,CL0000629,US0000629,TP00001
UC0000630,CL0000630,US0000630,TP00001
UC0000631,CL0000631,US0000631,TP00002
UC0000632,CL0000632,US0000632,TP00003
UC0000633,CL0000633,US0000633,TP00001
UC0000634,CL0000634,US0000634,TP00003
