id,sede_id,numero_sala,n_butacas
SL0000204,S00000029,3,35
SL0000205,S00000029,4,20
SL0000206,S00000029,5,50
SL0000207,S00000029,6,30
SL0000208,S00000029,7,45
SL0000209,S00000029,8,45
SL0000210,S00000029,9,30
SL0000211,S00000029,10,50
SL0000212,S00000030,1,50
SL0000213,S00000030,2,50
SL0000214,S00000030,3,35
SL0000215,S00000030,4,35
SL0000216,S00000030,5,45
SL0000217,S00000030,6,50
SL0000218,S00000030,7,50
SL0000219,S00000030,8,30
SL0000220,S00000030,9,20
SL0000221,S00000030,10,20
SL0000222,S00000031,1,30
SL0000223,S00000031,2,50
SL0000224,S00000031,3,50
SL0000225,S00000031,4,45
SL0000226,S00000031,5,50
SL0000227,S00000032,1,35
SL0000228,S00000032,2,20
SL0000229,S00000032,3,30
SL0000230,S00000032,4,30
SL0000231,S00000032,5,50
SL0000232,S00000032,6,45
SL0000233,S00000032,7,30
SL0000234,S00000032,8,45
SL0000235,S00000033,1,30
SL0000236,S00000033,2,45
SL0000237,S00000033,3,50
SL0000238,S00000033,4,20
SL0000239,S00000033,5,20
SL0000240,S00000034,1,30
SL0000241,S00000034,2,30
SL0000242,S00000034,3,30
SL0000243,S00000034,4,20
SL0000244,S00000034,5,35
SL0000245,S00000034,6,45
SL0000246,S00000034,7,35
SL0000247,S00000034,8,30
SL0000248,S00000035,1,30
SL0000249,S00000035,2,35
SL0000250,S00000035,3,35
SL0000251,S00000035,4,45
SL0000252,S00000035,5,45
SL0000253,S00000035,6,35
SL0000254,S00000035,7,50
SL0000255,S00000035,8,45
SL0000256,S00000036,1,35
SL0000257,S00000036,2,20
SL0000258,S00000036,3,30
SL0000259,S00000036,4,35
SL0000260,S00000036,5,20
SL0000261,S00000037,1,50
SL0000262,S00000037,2,20
SL0000263,S00000037,3,20
SL0000264,S00000037,4,30
SL0000265,S00000037,5,50
SL0000266,S00000037,6,30
SL0000267,S00000037,7,35
SL0000268,S00000037,8,50
SL0000269,S00000037,9,35
SL0000270,S00000037,10,20
SL0000271,S00000038,1,30
SL0000272,S00000038,2,30
SL0000273,S00000038,3,50
SL0000274,S00000038,4,35
SL0000275,S00000038,5,50
SL0000276,S00000038,6,50
SL0000277,S00000038,7,45
SL0000278,S00000038,8,20
SL0000279,S00000038,9,20
SL0000280,S00000038,10,50
SL0000281,S00000039,1,30
SL0000282,S00000039,2,50
SL0000283,S00000039,3,45
SL0000284,S00000039,4,35
SL0000285,S00000039,5,20
SL0000286,S00000040,1,20
SL0000287,S00000040,2,30
SL0000288,S00000040,3,20
SL0000289,S00000040,4,35
SL0000290,S00000040,5,35
SL0000291,S00000041,1,35
SL0000292,S00000041,2,50
SL0000293,S00000041,3,20
SL0000294,S00000041,4,30
SL0000295,S00000041,5,50
SL0000296,S00000042,1,45
SL0000297,S00000042,2,50
SL0000298,S00000042,3,30
SL0000299,S00000042,4,30
SL0000300,S00000042,5,45
SL0000301,S00000042,6,20
SL0000302,S00000042,7,50
SL0000303,S00000042,8,30
SL0000304,S00000042,9,50
SL0000305,S00000042,10,30
SL0000306,S00000043,1,30
SL0000307,S00000043,2,50
SL0000308,S00000043,3,20
SL0000309,S00000043,4,30
SL0000310,S00000043,5,30
SL0000311,S00000043,6,20
SL0000312,S00000043,7,20
SL0000313,S00000043,8,20
SL0000314,S00000043,9,50
SL0000315,S00000043,10,35
SL0000316,S00000044,1,50
SL0000317,S00000044,2,30
SL0000318,S00000044,3,30
SL0000319,S00000044,4,50
SL0000320,S00000044,5,50
SL0000321,S00000044,6,35
SL0000322,S00000044,7,35
SL0000323,S00000044,8,30
SL0000324,S00000045,1,35
SL0000325,S00000045,2,20
SL0000326,S00000045,3,50
SL0000327,S00000045,4,30
SL0000328,S00000045,5,30
SL0000329,S00000046,1,20
SL0000330,S00000046,2,35
SL0000331,S00000046,3,45
SL0000332,S00000046,4,30
SL0000333,S00000046,5,35
SL0000334,S00000047,1,50
SL0000335,S00000047,2,50
SL0000336,S00000047,3,30
SL0000337,S00000047,4,30
SL0000338,S00000047,5,45
SL0000339,S00000048,1,20
SL0000340,S00000048,2,20
SL0000341,S00000048,3,35
SL0000342,S00000048,4,35
SL0000343,S00000048,5,35
SL0000344,S00000049,1,50
SL0000345,S00000049,2,45
SL0000346,S00000049,3,45
SL0000347,S00000049,4,45
SL0000348,S00000049,5,50
SL0000349,S00000049,6,35
SL0000350,S00000049,7,35
SL0000351,S00000049,8,30
SL0000352,S00000049,9,30
SL0000353,S00000049,10,35
SL0000354,S00000050,1,35
SL0000355,S00000050,2,50
SL0000356,S00000050,3,20
SL0000357,S00000050,4,35
SL0000358,S00000050,5,45
SL0000359,S00000051,1,35
SL0000360,S00000051,2,50
SL0000361,S00000051,3,35
SL0000362,S00000051,4,35
SL0000363,S00000051,5,30
SL0000364,S00000051,6,20
SL0000365,S00000051,7,30
SL0000366,S00000051,8,30
SL0000367,S00000051,9,50
SL0000368,S00000051,10,50
SL0000369,S00000052,1,45
SL0000370,S00000052,2,30
SL0000371,S00000052,3,45
SL0000372,S00000052,4,20
SL0000373,S00000052,5,20
SL0000374,S00000053,1,30
SL0000375,S00000053,2,20
SL0000376,S00000053,3,45
SL0000377,S00000053,4,35
SL0000378,S00000053,5,45
SL0000379,S00000054,1,30
SL0000380,S00000054,2,35
SL0000381,S00000054,3,35
SL0000382,S00000054,4,30
SL0000383,S00000054,5,50
SL0000384,S00000054,6,35
SL0000385,S00000054,7,45
SL0000386,S00000054,8,30
SL0000387,S00000054,9,20
SL0000388,S00000054,10,35
SL0000389,S00000055,1,35
SL0000390,S00000055,2,45
SL0000391,S00000055,3,30
SL0000392,S00000055,4,35
SL0000393,S00000055,5,35
SL0000394,S00000056,1,45
SL0000395,S00000056,2,45
SL0000396,S00000056,3,35
SL0000397,S00000056,4,45
SL0000398,S00000056,5,50
SL0000399,S00000057,1,45
SL0000400,S00000057,2,20
SL0000401,S00000057,3,35
SL0000402,S00000057,4,20
SL0000403,S00000057,5,50
SL0000404,S00000057,6,35
SL0000405,S00000057,7,20
SL0000406,S00000057,8,45
SL0000407,S00000057,9,30
SL0000408,S00000057,10,35
SL0000409,S00000058,1,30
SL0000410,S00000058,2,45
SL0000411,S00000058,3,20
SL0000412,S00000058,4,50
SL0000413,S00000058,5,35
SL0000414,S00000059,1,35
SL0000415,S00000059,2,35
SL0000416,S00000059,3,30
SL0000417,S00000059,4,35
SL0000418,S00000059,5,45
SL0000419,S00000060,1,20
SL0000420,S00000060,2,35
SL0000421,S00000060,3,45
SL0000422,S00000060,4,30
SL0000423,S00000060,5,50
SL0000424,S00000060,6,35
SL0000425,S00000060,7,35
SL0000426,S00000060,8,45
SL0000427,S00000060,9,45
SL0000428,S00000060,10,45
SL0000429,S00000061,1,30
SL0000430,S00000061,2,30
SL0000431,S00000061,3,20
SL0000432,S00000061,4,30
SL0000433,S00000061,5,45
SL0000434,S00000062,1,30
SL0000435,S00000062,2,20
SL0000436,S00000062,3,20
SL0000437,S00000062,4,30
SL0000438,S00000062,5,45
SL0000439,S00000062,6,30
SL0000440,S00000062,7,45
SL0000441,S00000062,8,50
SL0000442,S00000063,1,30
SL0000443,S00000063,2,30
SL0000444,S00000063,3,30
SL0000445,S00000063,4,35
SL0000446,S00000063,5,30
SL0000447,S00000063,6,35
SL0000448,S00000063,7,45
SL0000449,S00000063,8,30
SL0000450,S00000063,9,50
SL0000451,S00000063,10,30
SL0000452,S00000064,1,35
SL0000453,S00000064,2,30
SL0000454,S00000064,3,30
SL0000455,S00000064,4,20
SL0000456,S00000064,5,45
SL0000457,S00000065,1,50
SL0000458,S00000065,2,30
SL0000459,S00000065,3,30
SL0000460,S00000065,4,45
SL0000461,S00000065,5,50
SL0000462,S00000065,6,50
SL0000463,S00000065,7,45
SL0000464,S00000065,8,45
SL0000465,S00000065,9,30
SL0000466,S00000065,10,30
SL0000467,S00000066,1,45
SL0000468,S00000066,2,30
SL0000469,S00000066,3,45
SL0000470,S00000066,4,45
SL0000471,S00000066,5,45
SL0000472,S00000067,1,50
SL0000473,S00000067,2,35
SL0000474,S00000067,3,45
SL0000475,S00000067,4,20
SL0000476,S00000067,5,35
SL0000477,S00000067,6,35
SL0000478,S00000067,7,20
SL0000479,S00000067,8,45
SL0000480,S00000068,1,50
SL0000481,S00000068,2,50
SL0000482,S00000068,3,20
SL0000483,S00000068,4,30
SL0000484,S00000068,5,20
SL0000485,S00000068,6,50
SL0000486,S00000068,7,50
SL0000487,S00000068,8,35
SL0000488,S00000069,1,50
SL0000489,S00000069,2,20
SL0000490,S00000069,3,30
SL0000491,S00000069,4,50
SL0000492,S00000069,5,35
SL0000493,S00000069,6,30
SL0000494,S00000069,7,45
SL0000495,S00000069,8,35
SL0000496,S00000070,1,45
SL0000497,S00000070,2,50
SL0000498,S00000070,3,35
SL0000499,S00000070,4,35
SL0000500,S00000070,5,35
SL0000501,S00000071,1,20
SL0000502,S00000071,2,30
SL0000503,S00000071,3,30
SL0000504,S00000071,4,45
SL0000505,S00000071,5,30
SL0000506,S00000071,6,35
SL0000507,S00000071,7,50
SL0000508,S00000071,8,35
SL0000509,S00000071,9,20
SL0000510,S00000071,10,50
SL0000511,S00000072,1,50
SL0000512,S00000072,2,45
SL0000513,S00000072,3,50
SL0000514,S00000072,4,35
SL0000515,S00000072,5,35
SL0000516,S00000072,6,35
SL0000517,S00000072,7,35
SL0000518,S00000072,8,45
SL0000519,S00000072,9,30
SL0000520,S00000072,10,20
SL0000521,S00000073,1,20
SL0000522,S00000073,2,35
SL0000523,S00000073,3,30
SL0000524,S00000073,4,30
SL0000525,S00000073,5,45
SL0000526,S00000074,1,30
SL0000527,S00000074,2,50
SL0000528,S00000074,3,30
SL0000529,S00000074,4,45
SL0000530,S00000074,5,30
SL0000531,S00000075,1,50
SL0000532,S00000075,2,35
SL0000533,S00000075,3,20
SL0000534,S00000075,4,35
SL0000535,S00000075,5,50
SL0000536,S00000075,6,20
SL0000537,S00000075,7,30
SL0000538,S00000075,8,35
SL0000539,S00000076,1,35
SL0000540,S00000076,2,50
SL0000541,S00000076,3,35
SL0000542,S00000076,4,50
SL0000543,S00000076,5,45
SL0000544,S00000076,6,30
SL0000545,S00000076,7,20
SL0000546,S00000076,8,30
SL0000547,S00000077,1,45
SL0000548,S00000077,2,45
SL0000549,S00000077,3,35
SL0000550,S00000077,4,20
SL0000551,S00000077,5,30
SL0000552,S00000077,6,50
SL0000553,S00000077,7,30
SL0000554,S00000077,8,30
SL0000555,S00000077,9,50
SL0000556,S00000077,10,20
SL0000557,S00000078,1,20
SL0000558,S00000078,2,30
SL0000559,S00000078,3,45
SL0000560,S00000078,4,30
SL0000561,S00000078,5,30
SL0000562,S00000079,1,30
SL0000563,S00000079,2,20
SL0000564,S00000079,3,20
SL0000565,S00000079,4,50
SL0000566,S00000079,5,35
SL0000567,S00000079,6,50
SL0000568,S00000079,7,30
SL0000569,S00000079,8,35
SL0000570,S00000080,1,50
SL0000571,S00000080,2,50
SL0000572,S00000080,3,30
SL0000573,S00000080,4,45
SL0000574,S00000080,5,45
SL0000575,S00000080,6,20
SL0000576,S00000080,7,20
SL0000577,S00000080,8,30
SL0000578,S00000081,1,35
SL0000579,S00000081,2,45
SL0000580,S00000081,3,30
SL0000581,S00000081,4,35
SL0000582,S00000081,5,45
SL0000583,S00000081,6,50
SL0000584,S00000081,7,50
SL0000585,S00000081,8,45
SL0000586,S00000081,9,30
SL0000587,S00000081,10,50
SL0000588,S00000082,1,45
SL0000589,S00000082,2,30
SL0000590,S00000082,3,20
SL0000591,S00000082,4,35
SL0000592,S00000082,5,20
SL0000593,S00000083,1,45
SL0000594,S00000083,2,35
SL0000595,S00000083,3,35
SL0000596,S00000083,4,35
SL0000597,S00000083,5,30
SL0000598,S00000083,6,30
SL0000599,S00000083,7,30
SL0000600,S00000083,8,45
SL0000601,S00000084,1,30
SL0000602,S00000084,2,50
SL0000603,S00000084,3,20
SL0000604,S00000084,4,35
SL0000605,S00000084,5,50
SL0000606,S00000084,6,50
SL0000607,S00000084,7,50
SL0000608,S00000084,8,45
SL0000609,S00000084,9,30
SL0000610,S00000084,10,20
SL0000611,S00000085,1,35
SL0000612,S00000085,2,30
SL0000613,S00000085,3,30
SL0000614,S00000085,4,30
SL0000615,S00000085,5,45
SL0000616,S00000086,1,20
SL0000617,S00000086,2,45
SL0000618,S00000086,3,20
SL0000619,S00000086,4,30
SL0000620,S00000086,5,30
SL0000621,S00000086,6,50
SL0000622,S00000086,7,30
SL0000623,S00000086,8,50
SL0000624,S00000086,9,50
SL0000625,S00000086,10,30
SL0000626,S00000087,1,45
SL0000627,S00000087,2,50
SL0000628,S00000087,3,20
SL0000629,S00000087,4,20
SL0000630,S00000087,5,50
SL0000631,S00000087,6,30
SL0000632,S00000087,7,45
SL0000633,S00000087,8,45
SL0000634,S00000088,1,30
SL0000635,S00000088,2,45
SL0000636,S00000088,3,35
SL0000637,S00000088,4,20
SL0000638,S00000088,5,30
SL0000639,S00000089,1,45
SL0000640,S00000089,2,45
SL0000641,S00000089,3,20
SL0000642,S00000089,4,35
SL0000643,S00000089,5,50
SL0000644,S00000089,6,20
SL0000645,S00000089,7,50
SL0000646,S00000089,8,30
SL0000647,S00000089,9,35
SL0000648,S00000089,10,35
SL0000649,S00000090,1,20
SL0000650,S00000090,2,45
SL0000651,S00000090,3,35
SL0000652,S00000090,4,30
SL0000653,S00000090,5,50
SL0000654,S00000090,6,30
SL0000655,S00000090,7,35
SL0000656,S00000090,8,30
SL0000657,S00000090,9,20
SL0000658,S00000090,10,20
SL0000659,S00000091,1,20
SL0000660,S00000091,2,35
SL0000661,S00000091,3,50
SL0000662,S00000091,4,30
SL0000663,S00000091,5,20
SL0000664,S00000092,1,50
SL0000665,S00000092,2,20
SL0000666,S00000092,3,45
SL0000667,S00000092,4,35
SL0000668,S00000092,5,35
SL0000669,S00000092,6,30
SL0000670,S00000092,7,45
SL0000671,S00000092,8,35
SL0000672,S00000093,1,50
SL0000673,S00000093,2,30
SL0000674,S00000093,3,35
SL0000675,S00000093,4,35
SL0000676,S00000093,5,30
SL0000677,S00000094,1,30
SL0000678,S00000094,2,35
SL0000679,S00000094,3,30
SL0000680,S00000094,4,30
SL0000681,S00000094,5,50
SL0000682,S00000095,1,45
SL0000683,S00000095,2,20
SL0000684,S00000095,3,30
SL0000685,S00000095,4,35
SL0000686,S00000095,5,35
SL0000687,S00000095,6,35
SL0000688,S00000095,7,45
SL0000689,S00000095,8,30
SL0000690,S00000096,1,30
SL0000691,S00000096,2,30
SL0000692,S00000096,3,30
SL0000693,S00000096,4,45
SL0000694,S00000096,5,50
SL0000695,S00000096,6,50
SL0000696,S00000096,7,45
SL0000697,S00000096,8,45
SL0000698,S00000096,9,50
SL0000699,S00000096,10,30
SL0000700,S00000097,1,30
SL0000701,S00000097,2,30
SL0000702,S00000097,3,45
SL0000703,S00000097,4,45
SL0000704,S00000097,5,35
SL0000705,S00000097,6,45
SL0000706,S00000097,7,45
SL0000707,S00000097,8,50
SL0000708,S00000097,9,30
SL0000709,S00000097,10,50
SL0000710,S00000098,1,50
SL0000711,S00000098,2,20
SL0000712,S00000098,3,20
SL0000713,S00000098,4,45
SL0000714,S00000098,5,30
SL0000715,S00000098,6,45
SL0000716,S00000098,7,50
SL0000717,S00000098,8,35
SL0000718,S00000098,9,30
SL0000719,S00000098,10,45
SL0000720,S00000099,1,35
SL0000721,S00000099,2,50
SL0000722,S00000099,3,35
SL0000723,S00000099,4,50
SL0000724,S00000099,5,45
SL0000725,S00000099,6,50
SL0000726,S00000099,7,20
SL0000727,S00000099,8,35
SL0000728,S00000100,1,20
SL0000729,S00000100,2,45
SL0000730,S00000100,3,20
SL0000731,S00000100,4,45
SL0000732,S00000100,5,50
SL0000733,S00000100,6,45
SL0000734,S00000100,7,45
SL0000735,S00000100,8,30
SL0000736,S00000100,9,45
SL0000737,S00000100,10,30
SL0000738,S00000101,1,50
SL0000739,S00000101,2,20
SL0000740,S00000101,3,35
SL0000741,S00000101,4,35
SL0000742,S00000101,5,45
SL0000743,S00000102,1,35
SL0000744,S00000102,2,35
SL0000745,S00000102,3,35
SL0000746,S00000102,4,45
SL0000747,S00000102,5,35
SL0000748,S00000102,6,30
SL0000749,S00000102,7,50
SL0000750,S00000102,8,50
SL0000751,S00000102,9,35
SL0000752,S00000102,10,30
SL0000753,S00000103,1,45
SL0000754,S00000103,2,45
SL0000755,S00000103,3,45
SL0000756,S00000103,4,30
SL0000757,S00000103,5,50
SL0000758,S00000104,1,45
SL0000759,S00000104,2,20
SL0000760,S00000104,3,50
SL0000761,S00000104,4,50
SL0000762,S00000104,5,45
SL0000763,S00000104,6,30
SL0000764,S00000104,7,30
SL0000765,S00000104,8,50
SL0000766,S00000105,1,30
SL0000767,S00000105,2,45
SL0000768,S00000105,3,35
SL0000769,S00000105,4,35
SL0000770,S00000105,5,30
SL0000771,S00000105,6,50
SL0000772,S00000105,7,30
SL0000773,S00000105,8,50
SL0000774,S00000106,1,50
SL0000775,S00000106,2,20
SL0000776,S00000106,3,35
SL0000777,S00000106,4,20
SL0000778,S00000106,5,30
SL0000779,S00000106,6,20
SL0000780,S00000106,7,45
SL0000781,S00000106,8,45
SL0000782,S00000107,1,45
SL0000783,S00000107,2,30
SL0000784,S00000107,3,30
SL0000785,S00000107,4,30
SL0000786,S00000107,5,35
SL0000787,S00000107,6,30
SL0000788,S00000107,7,30
SL0000789,S00000107,8,50
SL0000790,S00000107,9,20
SL0000791,S00000107,10,35
SL0000792,S00000108,1,35
SL0000793,S00000108,2,35
SL0000794,S00000108,3,35
SL0000795,S00000108,4,35
SL0000796,S00000108,5,20
SL0000797,S00000108,6,50
SL0000798,S00000108,7,20
SL0000799,S00000108,8,35
SL0000800,S00000109,1,35
SL0000801,S00000109,2,30
SL0000802,S00000109,3,50
SL0000803,S00000109,4,20
SL0000804,S00000109,5,50
SL0000805,S00000109,6,45
SL0000806,S00000109,7,45
SL0000807,S00000109,8,50
SL0000808,S00000109,9,50
SL0000809,S00000109,10,35
SL0000810,S00000110,1,30
SL0000811,S00000110,2,45
SL0000812,S00000110,3,50
SL0000813,S00000110,4,35
SL0000814,S00000110,5,45
SL0000815,S00000111,1,50
SL0000816,S00000111,2,20
SL0000817,S00000111,3,20
SL0000818,S00000111,4,20
SL0000819,S00000111,5,50
SL0000820,S00000112,1,45
SL0000821,S00000112,2,35
SL0000822,S00000112,3,50
SL0000823,S00000112,4,50
SL0000824,S00000112,5,30
SL0000825,S00000112,6,45
SL0000826,S00000112,7,35
SL0000827,S00000112,8,20
SL0000828,S00000112,9,45
SL0000829,S00000112,10,35
SL0000830,S00000113,1,45
SL0000831,S00000113,2,50
SL0000832,S00000113,3,50
SL0000833,S00000113,4,35
SL0000834,S00000113,5,45
SL0000835,S00000113,6,30
SL0000836,S00000113,7,20
SL0000837,S00000113,8,35
SL0000838,S00000114,1,35
SL0000839,S00000114,2,35
SL0000840,S00000114,3,30
SL0000841,S00000114,4,30
SL0000842,S00000114,5,20
SL0000843,S00000115,1,35
SL0000844,S00000115,2,35
SL0000845,S00000115,3,35
SL0000846,S00000115,4,30
SL0000847,S00000115,5,50
SL0000848,S00000115,6,20
SL0000849,S00000115,7,45
SL0000850,S00000115,8,30
SL0000851,S00000115,9,45
SL0000852,S00000115,10,35
SL0000853,S00000116,1,30
SL0000854,S00000116,2,50
SL0000855,S00000116,3,35
SL0000856,S00000116,4,50
SL0000857,S00000116,5,45
SL0000858,S00000116,6,20
SL0000859,S00000116,7,45
SL0000860,S00000116,8,45
SL0000861,S00000116,9,50
SL0000862,S00000116,10,45
SL0000863,S00000117,1,35
SL0000864,S00000117,2,20
SL0000865,S00000117,3,30
SL0000866,S00000117,4,30
SL0000867,S00000117,5,35
SL0000868,S00000118,1,50
SL0000869,S00000118,2,20
SL0000870,S00000118,3,50
SL0000871,S00000118,4,35
SL0000872,S00000118,5,50
SL0000873,S00000119,1,45
SL0000874,S00000119,2,20
SL0000875,S00000119,3,50
SL0000876,S00000119,4,45
SL0000877,S00000119,5,45
SL0000878,S00000119,6,50
SL0000879,S00000119,7,35
SL0000880,S00000119,8,30
SL0000881,S00000120,1,30
SL0000882,S00000120,2,45
SL0000883,S00000120,3,20
SL0000884,S00000120,4,50
SL0000885,S00000120,5,20
SL0000886,S00000121,1,30
SL0000887,S00000121,2,35
SL0000888,S00000121,3,45
SL0000889,S00000121,4,30
SL0000890,S00000121,5,30
SL0000891,S00000122,1,35
SL0000892,S00000122,2,20
SL0000893,S00000122,3,20
SL0000894,S00000122,4,20
SL0000895,S00000122,5,20
SL0000896,S00000122,6,30
SL0000897,S00000122,7,20
SL0000898,S00000122,8,45
SL0000899,S00000123,1,50
SL0000900,S00000123,2,20
SL0000901,S00000123,3,30
SL0000902,S00000123,4,20
SL0000903,S00000123,5,50
SL0000904,S00000123,6,20
SL0000905,S00000123,7,50
SL0000906,S00000123,8,35
SL0000907,S00000124,1,30
SL0000908,S00000124,2,30
SL0000909,S00000124,3,35
SL0000910,S00000124,4,50
SL0000911,S00000124,5,35
SL0000912,S00000124,6,20
SL0000913,S00000124,7,45
SL0000914,S00000124,8,45
SL0000915,S00000124,9,35
SL0000916,S00000124,10,30
SL0000917,S00000125,1,30
SL0000918,S00000125,2,35
SL0000919,S00000125,3,45
SL0000920,S00000125,4,45
SL0000921,S00000125,5,30
SL0000922,S00000125,6,20
SL0000923,S00000125,7,20
SL0000924,S00000125,8,45
SL0000925,S00000125,9,50
SL0000926,S00000125,10,30
SL0000927,S00000126,1,20
SL0000928,S00000126,2,45
SL0000929,S00000126,3,35
SL0000930,S00000126,4,30
